pair_type,hex_a_id,hex_a_name,hex_a_binary,hex_b_id,hex_b_name,hex_b_binary,relation
inversion,3,Difficulty at the Beginning,010001,4,Youthful Folly,100010,010001 reversed = 100010
inversion,5,Waiting,010111,6,Conflict,111010,010111 reversed = 111010
inversion,7,The Army,000010,8,Holding Together,010000,000010 reversed = 010000
inversion,9,Taming Power of the Small,110111,10,Treading,111011,110111 reversed = 111011
inversion,11,Peace,000111,12,Standstill,111000,000111 reversed = 111000
inversion,13,Fellowship with Men,101111,14,Possession in Great Measure,111101,101111 reversed = 111101
inversion,15,Modesty,001000,16,Enthusiasm,000100,001000 reversed = 000100
inversion,17,Following,100110,18,Work on Decayed,011001,100110 reversed = 011001
inversion,19,Approach,110000,20,Contemplation,000011,110000 reversed = 000011
inversion,21,Biting Through,100101,22,Grace,101001,100101 reversed = 101001
inversion,23,Splitting Apart,000001,24,Return,100000,000001 reversed = 100000
inversion,25,Innocence,100111,26,Taming Power of the Great,111001,100111 reversed = 111001
inversion,31,Influence,001110,32,Duration,011100,001110 reversed = 011100
inversion,33,Retreat,001111,34,Power of the Great,111100,001111 reversed = 111100
inversion,35,Progress,000101,36,Darkening of the Light,101000,000101 reversed = 101000
inversion,37,The Family,101011,38,Opposition,110101,101011 reversed = 110101
inversion,39,Obstruction,010100,40,Deliverance,001010,010100 reversed = 001010
inversion,41,Decrease,100011,42,Increase,110001,100011 reversed = 110001
inversion,43,Breakthrough,111110,44,Coming to Meet,011111,111110 reversed = 011111
inversion,45,Gathering Together,000110,46,Pushing Upward,011000,000110 reversed = 011000
inversion,47,Oppression,010110,48,The Well,011010,010110 reversed = 011010
inversion,49,Revolution,101110,50,The Cauldron,011101,101110 reversed = 011101
inversion,51,The Arousing,100100,52,Keeping Still,001001,100100 reversed = 001001
inversion,53,Development,001011,54,The Marrying Maiden,110100,001011 reversed = 110100
inversion,55,Abundance,001101,56,The Wanderer,101100,001101 reversed = 101100
inversion,57,The Gentle,011011,58,The Joyous,110110,011011 reversed = 110110
inversion,59,Dispersion,010011,60,Limitation,110010,010011 reversed = 110010
inversion,63,After Completion,101010,64,Before Completion,010101,101010 reversed = 010101
complementary,1,The Creative,111111,2,The Receptive,000000,111111 bit-flipped = 000000 = 000000
complementary,11,Peace,000111,12,Standstill,111000,000111 bit-flipped = 111000 = 111000
complementary,17,Following,100110,18,Work on Decayed,011001,100110 bit-flipped = 011001 = 011001
complementary,27,Corners of the Mouth,100001,28,Preponderance of the Great,011110,100001 bit-flipped = 011110 = 011110
complementary,29,The Abysmal,010010,30,The Clinging,101101,010010 bit-flipped = 101101 = 101101
complementary,61,Inner Truth,110011,62,Preponderance of the Small,001100,110011 bit-flipped = 001100 = 001100
